Qty;Value;Device;Package;Parts;Description;AVAILABILITY;CHECK_PRICES;COMMENT;CONFIGURATION_POLE-THROW;CONTACT_CURRENT_RATING;DESCRIPTION;MF;MP;MPN;OC_FARNELL;OC_NEWARK;PACKAGE;POPULARITY;PRICE;SNAPEDA_LINK;SPICEMODEL;SPICEPREFIX
2;;AK500/2;AK500/2;X1, X2;CONNECTOR;;https://cothings.net/collections/pins/products/bornier-a-visser-2-poles;;;;;;;;unknown;unknown;;14;;;;
2;;C-EUC1206K;C1206K;C5, C6;CAPACITOR, European symbol;;;;;;;;;;;;;13;;;;C
4;;CPOL-EUE2.5-6;E2,5-6;C2, C3, C4, C7;POLARIZED CAPACITOR, European symbol;;;;;;;;;;;;;26;;;;C
4;;LEDCHIPLED_1206;CHIPLED_1206;CHARGED, CHARGING, POWER, WIFI;LED;;https://2btrading.tn/afficheurs-led-lcd/5230-diode-led-smd-1206-orange.html;;;;;;;;;;;28;;;;
6;;PINHD-1X1;1X01;JP11, JP14, JP15, JP16, JP17, JP18;PIN HEADER;;;;;;;;;;;;;64;;;;
1;;PINHD-1X4;1X04;JP2;PIN HEADER;;;;;;;;;;;;;91;;;;
1;;PINHD-1X6/90;1X06/90;JP1;PIN HEADER;;https://cothings.net/collections/pins/products/barrette-secable-femelle-40pin-2-54mm;;;;;;;;;;;10;;;;
6;634;RR1206;R1206;R7, R8, R9, R10, R13, R14;RESISTOR, European symbol;;;;;;;;;;;;;;;;NONE;R
1;;S02P;S02P;ON/OFF;AMP MT CONNECTOR;;https://www.celectronix.com/ensembles-c-bles/5455-connecteur-2p-jst-xh-male-2-54mm.html?srsltid=AfmBOoqtPQqr9PptVrl3KnFwd3qVTg0z0nrcdqlvRW5rFDlhMc34v2BF;;;;;;;;unknown;unknown;;0;;;;
1;;S04P;S04P;SV2;AMP MT CONNECTOR;;https://www.celectronix.com/ensembles-c-bles/5453-connecteur-4p-jst-xh-male-2-54mm.html;;;;;;;;unknown;unknown;;0;;;;
12;10k;RR1206;R1206;R1, R2, R3, R4, R5, R6, R11, R12, R15, R16, R17, R18;RESISTOR, European symbol;;;;;;;;;;;;;;;;NONE;R
4;1437566-3;1437566-3;SW_1437566-3;BOOT, EN, RESET2, RESET3;Switch Tactile OFF (ON) SPST Rectangular Button Gull Wing 0.05A 12VDC SMD Loose Piece Check availability;In Stock;https://2btrading.tn/commutateurs/6583-bouton-poussoir-3x6x25-flat.html;1437566-3;Single Pole - Single Throw;50 mA; FSMSM=3.5X6 SMT TACT | TE Connectivity 1437566-3 ;TE Connectivity;1437566-3;;;;None;;None;https://www.snapeda.com/parts/1437566-3/TE+Connectivity+ALCOSWITCH+Switches/view-part/?ref=snap;;
1;AMS1117-3.3;AMS1117-3.3;SOT229P700X180-4N;U3;Check availability;Not in stock;https://cothings.net/products/regulateur-de-tension-ams1117-cms-3-3-v-800-ma;;;; Sot223/Pkg 1-Amp 3.3-Volt Low Drop Out Voltage Regulatator ;Advanced Monolithic Systems;AMS1117-3.3;;;;SOT-223 Seeed Technology;;None;https://www.snapeda.com/parts/AMS1117-3.3/Advanced+Monolithic+Systems/view-part/?ref=snap;;
1;BH-18650-PC;BH-18650-PC;BAT_BH-18650-PC;BT2;Check availability;In Stock;https://cothings.net/products/support-de-cellule-pour-1x-18650;;;; Battery Holder (Open) 18650 1 Cell PC Pin ;MPD (Memory;BH-18650-PC;;;;None;;None;https://www.snapeda.com/parts/BH-18650-PC/MPD+%2528Memory+Protection+Devices%2529/view-part/?ref=snap;;
1;ESP32-WROOM-32D;ESP32-WROOM-32D;MODULE_ESP32-WROOM-32D;U1;Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 + EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated, Trace Surface Mount Check availability;In Stock;;;;; Bluetooth, WiFi 802.11b/g/n, Bluetooth v4.2 +EDR, Class 1, 2 and 3 Transceiver Module 2.4GHz ~ 2.5GHz Integrated ;Espressif Systems;ESP32-WROOM-32D;;;;Non Standard Espressif Systems;;None;https://www.snapeda.com/parts/ESP32-WROOM-32D/Espressif+Systems/view-part/?ref=snap;;
3;SJ2-3573A2-SMT-TR;SJ2-3573A2-SMT-TR;CUI_SJ2-3573A2-SMT-TR;J1, J2, J3;Check availability;In Stock;https://cothings.net/products/prise-casque-audio-stereo-5-broches-3-5mm-montage-sur-panneau-pcb-pj-324m;;;;                                                      3 conductors, 3.5mm, SMT Audio Jack                                              ;Same Sky;SJ2-3573A2-SMT-TR;;;;None;;None;https://www.snapeda.com/parts/SJ2-3573A2-SMT-TR/Same+Sky/view-part/?ref=snap;;
